,Price,Open,High,Low,Vol,Change,Sentiment,Sentiment_High,Sentiment_Low,News_Volume,News_Buzz
2013-01-01,94.82857142857144,94.58333333333334,95.34571428571428,93.97380952380954,20833904.76190476,0.002885714285714286,-0.9999999999999999,1.2916666666666665,-3.0416666666666665,4.125,7.479166666666667
2013-02-01,95.32157894736841,95.61105263157897,96.2405263157895,94.54736842105265,21680421.05263158,-0.0029842105263157893,-0.7857142857142858,2.482142857142857,-3.714285714285714,3.25,6.321428571428571
2013-03-01,92.95700000000001,92.6815,93.499,91.98299999999999,20138050.0,0.0027700000000000003,-0.6935483870967742,1.7741935483870968,-3.403225806451613,3.370967741935484,5.912903225806452
2013-04-01,92.06772727272728,92.19909090909093,92.97090909090907,90.79999999999997,24677545.454545453,-0.0016818181818181823,-1.1,1.4666666666666666,-3.1,7.133333333333334,5.706666666666666
2013-05-01,94.7347619047619,94.66285714285716,95.51523809523809,93.34666666666666,27939285.714285713,-0.00024285714285714289,0.46774193548387094,3.693548387096774,-2.9838709677419355,9.241935483870968,4.774193548387097
2013-06-01,95.80050000000001,95.51149999999998,96.553,94.62899999999999,24584250.0,0.0025050000000000003,-0.3333333333333333,3.066666666666667,-3.3333333333333335,7.066666666666666,3.6
2013-07-01,104.69863636363638,104.3840909090909,105.55409090909089,103.39318181818182,24463954.545454547,0.0038227272727272736,-0.41935483870967744,2.725806451612903,-2.838709677419355,7.306451612903226,4.983870967741935
2013-08-01,106.53909090909092,106.44272727272731,107.53454545454547,105.40045454545452,24106090.90909091,0.0012045454545454547,-0.7096774193548387,2.2580645161290325,-3.7096774193548385,9.209677419354838,5.645161290322581
2013-09-01,106.2355,106.39200000000001,107.14950000000002,105.11949999999999,22915550.0,-0.002035,-1.1333333333333333,2.7,-4.533333333333333,10.233333333333333,4.4
2013-10-01,100.55260869565215,100.66826086956522,101.41521739130438,99.66739130434786,22356173.913043477,-0.0025434782608695656,-0.9032258064516129,2.096774193548387,-3.6774193548387095,8.5,4.451612903225806
2013-11-01,93.93149999999999,94.0775,94.7995,93.2285,22555100.0,-0.0018700000000000001,-1.0,2.9,-4.316666666666666,10.416666666666666,6.183333333333334
2013-12-01,97.8942857142857,97.64095238095238,98.42761904761905,97.18428571428574,17427571.42857143,0.0028809523809523803,-0.3548387096774194,2.5483870967741935,-3.338709677419355,7.806451612903226,4.741935483870968
2014-01-01,94.85666666666667,94.97238095238097,95.77714285714286,94.13999999999999,21384142.85714286,-0.0002761904761904761,0.7419354838709677,3.806451612903226,-2.870967741935484,7.580645161290323,6.161290322580645
2014-02-01,100.67526315789473,100.5,101.33947368421053,99.81894736842105,20708526.315789472,0.002573684210526316,-0.48214285714285715,2.2857142857142856,-2.8392857142857144,6.446428571428571,4.553571428571429
2014-03-01,100.50904761904765,100.52714285714286,101.33999999999999,99.64904761904761,21876380.95238095,-0.00041428571428571426,-0.3870967741935484,2.4838709677419355,-3.3225806451612905,6.903225806451613,7.709677419354839
2014-04-01,102.03476190476188,102.03333333333333,102.76333333333332,101.3404761904762,22449857.14285714,-0.0008190476190476189,-0.8,3.033333333333333,-4.366666666666666,7.383333333333334,6.183333333333334
2014-05-01,101.79476190476188,101.69999999999999,102.3552380952381,101.21619047619048,20853619.04761905,0.0014523809523809526,-0.7741935483870968,2.4193548387096775,-3.564516129032258,6.0,5.451612903225806
2014-06-01,105.14666666666666,105.05761904761906,105.76285714285716,104.46380952380952,19626047.61904762,0.0012380952380952378,-1.5833333333333333,1.9,-4.066666666666666,15.0,7.3
2014-07-01,102.39181818181818,102.55272727272728,103.195,101.59363636363636,23351000.0,-0.003022727272727273,-1.0806451612903225,2.629032258064516,-4.129032258064516,9.048387096774194,5.129032258064516
