Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
15/12/2016,-1,3,-5,1,26
14/12/2016,-2,2,-5,3,73
13/12/2016,1,5,-4,3,67
12/12/2016,-2,3,-5,3,59
11/12/2016,-4,-3,-5,2,9
10/12/2016,0,0,0,0,0
09/12/2016,-1,3,-5,1,5
08/12/2016,-1,3,-4,2,54
07/12/2016,-2,3,-5,1,36
06/12/2016,-4,-1,-5,1,34
05/12/2016,1,5,-4,0,14
04/12/2016,-3,1,-5,3,7
03/12/2016,0,0,0,0,0
02/12/2016,-3,1,-5,3,52
01/12/2016,-1,3,-5,1,28
30/11/2016,-3,1,-5,190,10
29/11/2016,-3,1,-5,52,10
28/11/2016,0,0,0,0,0
27/11/2016,0,0,0,0,0
26/11/2016,0,0,0,0,0
25/11/2016,0,0,0,0,0
24/11/2016,0,0,0,0,0
23/11/2016,0,0,0,0,0
22/11/2016,0,0,0,0,0
21/11/2016,1,5,-3,30,3
20/11/2016,0,0,0,0,0
19/11/2016,0,0,0,0,0
18/11/2016,-1,3,-4,19,3
17/11/2016,0,0,0,0,0
16/11/2016,-1,3,-5,37,4
15/11/2016,-2,2,-5,20,2
14/11/2016,-2,3,-5,10,1
13/11/2016,3,3,3,2,0
12/11/2016,0,0,0,0,0
11/11/2016,0,0,0,0,0
10/11/2016,0,0,0,0,0
09/11/2016,-2,2,-4,1,14
08/11/2016,1,4,-4,3,35
07/11/2016,1,5,-4,1,15
06/11/2016,1,5,-5,4,2
05/11/2016,0,0,0,0,0
04/11/2016,-2,2,-5,5,36
03/11/2016,-2,1,-5,2,20
02/11/2016,-3,1,-5,2,22
01/11/2016,-3,2,-5,2,26
31/10/2016,-5,-3,-5,1,14
30/10/2016,-3,-3,-3,2,1
29/10/2016,0,0,0,0,0
28/10/2016,-4,-1,-5,7,24
27/10/2016,0,0,0,0,0
26/10/2016,-5,-4,-5,2,18
25/10/2016,-1,4,-4,5,47
24/10/2016,-2,4,-5,2,20
23/10/2016,1,5,-5,1,2
22/10/2016,0,0,0,0,0
21/10/2016,3,5,1,3,15
20/10/2016,-3,-1,-5,4,37
19/10/2016,-1,3,-5,1,15
18/10/2016,-2,3,-5,10,90
17/10/2016,-2,3,-5,2,22
16/10/2016,-3,1,-5,10,24
15/10/2016,-4,-1,-5,8,19
14/10/2016,-4,-1,-5,7,41
13/10/2016,-2,3,-5,3,29
12/10/2016,-2,2,-5,1,17
11/10/2016,-2,1,-5,6,79
10/10/2016,-1,4,-5,3,38
09/10/2016,0,0,0,0,0
08/10/2016,-4,-2,-5,2,7
07/10/2016,-4,-2,-5,1,16
06/10/2016,-3,2,-5,0,11
05/10/2016,-4,-3,-5,0,11
04/10/2016,-1,3,-5,0,7
03/10/2016,-4,-3,-5,1,12
02/10/2016,3,4,2,2,4
01/10/2016,1,2,-2,4,4
30/09/2016,-5,-5,-5,4,18
29/09/2016,-2,2,-5,6,75
28/09/2016,-3,1,-5,4,53
27/09/2016,-4,-2,-5,5,64
26/09/2016,-2,3,-5,5,59
25/09/2016,-2,1,-3,4,13
24/09/2016,1,5,-4,4,7
23/09/2016,-3,1,-5,3,36
22/09/2016,-3,1,-5,0,10
21/09/2016,-3,1,-5,1,13
20/09/2016,-4,-2,-5,0,8
19/09/2016,-1,4,-5,4,49
18/09/2016,-2,3,-5,1,13
17/09/2016,3,4,3,1,9
16/09/2016,-3,1,-5,1,7
15/09/2016,-2,2,-5,1,15
14/09/2016,-2,3,-5,0,8
13/09/2016,-4,-2,-5,10,114
12/09/2016,-2,2,-5,6,13
11/09/2016,-5,-5,-5,0,1
10/09/2016,0,0,0,0,0
09/09/2016,0,0,0,0,0
08/09/2016,0,0,0,0,0
07/09/2016,0,0,0,0,0
06/09/2016,0,0,0,0,0
05/09/2016,0,0,0,0,0
04/09/2016,-1,3,-5,3,5
03/09/2016,0,0,0,0,0
02/09/2016,-3,2,-5,3,16
01/09/2016,-4,-2,-5,3,19
31/08/2016,-3,1,-5,4,22
30/08/2016,1,3,-3,2,14
29/08/2016,2,5,-3,4,16
28/08/2016,2,5,-2,1,7
27/08/2016,-5,-5,-5,0,1
26/08/2016,-2,2,-5,1,7
25/08/2016,-3,1,-5,2,14
24/08/2016,-3,-1,-5,4,21
23/08/2016,-2,2,-5,4,21
22/08/2016,-1,3,-5,4,11
21/08/2016,-3,2,-5,2,5
20/08/2016,-1,3,-4,2,6
19/08/2016,-2,2,-5,1,10
18/08/2016,-3,-1,-5,2,13
17/08/2016,-4,-3,-5,2,14
16/08/2016,-2,2,-5,3,19
15/08/2016,-2,3,-5,4,16
14/08/2016,-5,-5,-5,4,3
13/08/2016,3,5,-1,5,2
12/08/2016,1,3,-3,9,54
11/08/2016,3,5,1,2,18
10/08/2016,0,0,0,0,0
09/08/2016,0,0,0,0,0
08/08/2016,0,0,0,0,0
07/08/2016,0,0,0,0,0
06/08/2016,0,0,0,0,0
05/08/2016,-1,4,-4,27,6
04/08/2016,0,0,0,0,0
03/08/2016,0,0,0,0,0
02/08/2016,0,0,0,0,0
01/08/2016,0,0,0,0,0
31/07/2016,0,0,0,0,0
30/07/2016,0,0,0,0,0
29/07/2016,0,0,0,0,0
28/07/2016,0,0,0,0,0
27/07/2016,0,0,0,0,0
26/07/2016,0,0,0,0,0
25/07/2016,0,0,0,0,0
24/07/2016,0,0,0,0,0
23/07/2016,0,0,0,0,0
22/07/2016,0,0,0,0,0
21/07/2016,0,0,0,0,0
20/07/2016,0,0,0,0,0
19/07/2016,0,0,0,0,0
18/07/2016,0,0,0,0,0
17/07/2016,0,0,0,0,0
16/07/2016,0,0,0,0,0
15/07/2016,0,0,0,0,0
14/07/2016,0,0,0,0,0
13/07/2016,0,0,0,0,0
12/07/2016,0,0,0,0,0
11/07/2016,0,0,0,0,0
10/07/2016,0,0,0,0,0
09/07/2016,0,0,0,0,0
08/07/2016,0,0,0,0,0
07/07/2016,0,0,0,0,0
